PING 10.113.50.100 (10.113.50.100) 56(84) bytes of data.
64 bytes from 10.113.50.100: icmp_seq=1 ttl=62 time=0.520 ms
64 bytes from 10.113.50.100: icmp_seq=2 ttl=62 time=0.619 ms
64 bytes from 10.113.50.100: icmp_seq=3 ttl=62 time=0.607 ms
64 bytes from 10.113.50.100: icmp_seq=4 ttl=62 time=0.448 ms
64 bytes from 10.113.50.100: icmp_seq=5 ttl=62 time=0.628 ms
64 bytes from 10.113.50.100: icmp_seq=6 ttl=62 time=0.542 ms
64 bytes from 10.113.50.100: icmp_seq=7 ttl=62 time=0.605 ms
64 bytes from 10.113.50.100: icmp_seq=8 ttl=62 time=0.594 ms
64 bytes from 10.113.50.100: icmp_seq=9 ttl=62 time=0.607 ms
64 bytes from 10.113.50.100: icmp_seq=10 ttl=62 time=0.613 ms
64 bytes from 10.113.50.100: icmp_seq=11 ttl=62 time=0.629 ms
64 bytes from 10.113.50.100: icmp_seq=12 ttl=62 time=0.509 ms
64 bytes from 10.113.50.100: icmp_seq=13 ttl=62 time=0.649 ms
64 bytes from 10.113.50.100: icmp_seq=14 ttl=62 time=0.590 ms
64 bytes from 10.113.50.100: icmp_seq=15 ttl=62 time=0.523 ms
64 bytes from 10.113.50.100: icmp_seq=16 ttl=62 time=0.525 ms
64 bytes from 10.113.50.100: icmp_seq=17 ttl=62 time=0.515 ms
64 bytes from 10.113.50.100: icmp_seq=18 ttl=62 time=0.461 ms
64 bytes from 10.113.50.100: icmp_seq=19 ttl=62 time=0.541 ms
64 bytes from 10.113.50.100: icmp_seq=20 ttl=62 time=0.490 ms
64 bytes from 10.113.50.100: icmp_seq=21 ttl=62 time=0.531 ms
64 bytes from 10.113.50.100: icmp_seq=22 ttl=62 time=0.549 ms
64 bytes from 10.113.50.100: icmp_seq=23 ttl=62 time=0.619 ms
64 bytes from 10.113.50.100: icmp_seq=24 ttl=62 time=0.517 ms
64 bytes from 10.113.50.100: icmp_seq=25 ttl=62 time=0.539 ms
64 bytes from 10.113.50.100: icmp_seq=26 ttl=62 time=0.612 ms
64 bytes from 10.113.50.100: icmp_seq=27 ttl=62 time=0.620 ms
64 bytes from 10.113.50.100: icmp_seq=28 ttl=62 time=0.616 ms
64 bytes from 10.113.50.100: icmp_seq=29 ttl=62 time=0.629 ms
64 bytes from 10.113.50.100: icmp_seq=30 ttl=62 time=0.626 ms
64 bytes from 10.113.50.100: icmp_seq=31 ttl=62 time=0.616 ms
64 bytes from 10.113.50.100: icmp_seq=32 ttl=62 time=0.523 ms
64 bytes from 10.113.50.100: icmp_seq=33 ttl=62 time=0.626 ms
64 bytes from 10.113.50.100: icmp_seq=34 ttl=62 time=0.527 ms
64 bytes from 10.113.50.100: icmp_seq=35 ttl=62 time=0.611 ms
64 bytes from 10.113.50.100: icmp_seq=36 ttl=62 time=0.600 ms
64 bytes from 10.113.50.100: icmp_seq=37 ttl=62 time=0.613 ms
64 bytes from 10.113.50.100: icmp_seq=38 ttl=62 time=0.626 ms
64 bytes from 10.113.50.100: icmp_seq=39 ttl=62 time=0.684 ms
64 bytes from 10.113.50.100: icmp_seq=40 ttl=62 time=0.630 ms
64 bytes from 10.113.50.100: icmp_seq=41 ttl=62 time=0.605 ms
64 bytes from 10.113.50.100: icmp_seq=42 ttl=62 time=0.635 ms
64 bytes from 10.113.50.100: icmp_seq=43 ttl=62 time=0.557 ms
64 bytes from 10.113.50.100: icmp_seq=44 ttl=62 time=0.616 ms
64 bytes from 10.113.50.100: icmp_seq=45 ttl=62 time=0.554 ms
64 bytes from 10.113.50.100: icmp_seq=46 ttl=62 time=0.615 ms
64 bytes from 10.113.50.100: icmp_seq=47 ttl=62 time=0.616 ms
64 bytes from 10.113.50.100: icmp_seq=48 ttl=62 time=0.604 ms
64 bytes from 10.113.50.100: icmp_seq=49 ttl=62 time=0.410 ms
64 bytes from 10.113.50.100: icmp_seq=50 ttl=62 time=0.531 ms
64 bytes from 10.113.50.100: icmp_seq=51 ttl=62 time=0.620 ms
64 bytes from 10.113.50.100: icmp_seq=52 ttl=62 time=0.624 ms
64 bytes from 10.113.50.100: icmp_seq=53 ttl=62 time=0.613 ms
64 bytes from 10.113.50.100: icmp_seq=54 ttl=62 time=0.610 ms
64 bytes from 10.113.50.100: icmp_seq=55 ttl=62 time=0.512 ms
64 bytes from 10.113.50.100: icmp_seq=56 ttl=62 time=0.581 ms
64 bytes from 10.113.50.100: icmp_seq=57 ttl=62 time=0.619 ms
64 bytes from 10.113.50.100: icmp_seq=58 ttl=62 time=0.616 ms
64 bytes from 10.113.50.100: icmp_seq=59 ttl=62 time=0.520 ms
64 bytes from 10.113.50.100: icmp_seq=60 ttl=62 time=0.515 ms
64 bytes from 10.113.50.100: icmp_seq=61 ttl=62 time=0.463 ms
64 bytes from 10.113.50.100: icmp_seq=62 ttl=62 time=0.823 ms
64 bytes from 10.113.50.100: icmp_seq=63 ttl=62 time=0.608 ms
64 bytes from 10.113.50.100: icmp_seq=64 ttl=62 time=0.610 ms
