2025-03-03 09:21:48 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.38022%
2025-03-03 09:21:53 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31516%
2025-03-03 09:21:59 - CPU Usage: %Cpu(s):  0.0 us,  2.0 sy,  0.0 ni, 98.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31672%
2025-03-03 09:22:04 - CPU Usage: %Cpu(s):  1.0 us,  2.9 sy,  0.0 ni, 96.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33384%
2025-03-03 09:22:09 - CPU Usage: %Cpu(s):  0.0 us,  2.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33384%
2025-03-03 09:22:14 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33538%
2025-03-03 09:22:19 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33691%
2025-03-03 09:22:24 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34001%
2025-03-03 09:22:30 - CPU Usage: %Cpu(s):  1.9 us,  1.9 sy,  0.0 ni, 96.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.33999%
2025-03-03 09:22:35 - CPU Usage: %Cpu(s):  1.9 us,  0.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34464%
2025-03-03 09:22:40 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.34772%
2025-03-03 09:22:45 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.3524%
2025-03-03 09:22:50 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35708%
2025-03-03 09:22:56 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31451%
2025-03-03 09:23:01 - CPU Usage: %Cpu(s):  1.8 us,  2.7 sy,  0.0 ni, 95.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31608%
2025-03-03 09:23:06 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31917%
2025-03-03 09:23:11 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32071%
2025-03-03 09:23:16 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.32381%
